param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/loss_ra,train/loss_rc,train/param_noise_distance,train/param_recovery_noise_distance
0.19801980198,0.0409119911492,0.0936232432723,-0.0821022391319,0.493199884892,1.54019796848,0.0680119246244,0.787861645222,0.263178616762,-0.000912278832402,0.765137732029,0.321651756763,nan,0.0,nan,nan,21.1158554554,0.0,1,5000,236.788891199,-0.552161693573,0.378791511059,nan,nan,0.697062492371,nan
0.196059209881,0.166127026081,0.0461935847998,0.126979574561,0.79878616333,4.05220079422,0.0579445064068,-0.0555794499815,0.677083075047,0.686339974403,0.846839547157,0.24370495975,10000.0,1.0,359.803588867,359.803588867,43.8159201145,1.0,2,10000,228.227547747,-2.5461037159,0.0709081664681,nan,nan,0.883359193802,nan
0.194118029586,0.472836256027,0.0980800017715,-0.239944413304,0.873204648495,1.88663578033,0.064427241683,-0.0555794499815,0.677083075047,1.34907591343,0.530453801155,0.680352449417,10000.0,1.0,359.803588867,359.803588867,64.7598381042,1.0,3,15000,231.62503859,-1.00437021255,0.208546489477,nan,nan,0.323398411274,nan
0.192196068897,1.24619197845,0.0677951797843,-0.30676689744,0.91753333807,2.90552473068,0.0893282443285,0.21178394556,0.872802913189,1.10190570354,0.37353554368,0.766221821308,10000.0,2.0,153.926544189,153.926544189,87.5693480968,2.0,4,20000,228.390417819,-1.45016980171,0.0533182136714,nan,nan,0.926501393318,nan
0.190293137521,2.03150844574,0.087062895298,-0.289712071419,0.90702098608,3.54949712753,0.115441836417,0.21178394556,0.872802913189,0.993356227875,0.3101747334,0.779108524323,10000.0,2.0,153.926544189,153.926544189,108.257128716,2.0,5,25000,230.9316744,-1.54668414593,0.0363528467715,nan,nan,1.01910233498,nan
0.188409047051,2.71188426018,0.108500927687,0.0755142942071,0.804973304272,4.26049423218,0.273310929537,0.398135334253,0.43972209096,1.29590809345,0.291069924831,0.79632794857,10000.0,3.0,86.366394043,86.366394043,131.970258951,3.0,6,30000,227.323945853,-2.12437582016,0.0405651852489,nan,nan,1.43129324913,nan
0.186543610941,3.88349628448,0.166791856289,0.110516093671,0.81816136837,7.5894780159,0.904820084572,0.398135334253,0.43972209096,1.19227731228,0.293392121792,0.766446948051,10000.0,3.0,86.366394043,86.366394043,151.049911737,3.0,7,35000,231.711489252,-3.19885873795,0.4822922647,-1.05824828148,0.0727104842663,1.22873842716,0.937975347042
0.184696644496,4.90637969971,0.287831157446,0.286921143532,0.903782904148,7.11658382416,0.67317378521,0.212975040078,0.823773860931,1.21032714844,0.276982694864,0.758176088333,10000.0,4.0,3444.26660156,3444.26660156,167.367900848,4.0,8,40000,238.99445352,-4.68298864365,0.468695491552,-1.60687732697,0.000921983795706,0.936840593815,0.904394507408
0.182867964848,5.80506134033,0.851490080357,0.191479548812,0.850529015064,5.63544082642,1.80402874947,0.212975040078,0.823773860931,1.34701383114,0.227594509721,0.768837869167,10000.0,4.0,3444.26660156,3444.26660156,181.745941877,4.0,9,45000,247.598375706,-5.34242391586,0.329542249441,-2.12840843201,0.000269887445029,1.175162673,0.652822673321
0.181057390939,7.21330022812,1.19273257256,0.285372883081,0.90449655056,10.5505981445,1.92749166489,-0.246727705002,0.703184664249,1.23765051365,0.20329169929,0.769371807575,10000.0,5.0,2747.84521484,2747.84521484,197.796344757,5.0,10,50000,252.785257793,-5.17597293854,0.25589632988,-2.6231200695,0.000218726636376,0.744560718536,0.466633170843
0.179264743504,9.53607749939,1.13460636139,0.320442557335,0.929046154022,11.4619531631,1.35022318363,-0.246727705002,0.703184664249,2.59270238876,0.0941658094525,0.810682713985,10000.0,5.0,2747.84521484,2747.84521484,211.696606159,5.0,11,55000,259.805771088,-5.83261346817,1.23429536819,-3.11224579811,0.000252645695582,0.864640414715,0.567564547062
0.181057390939,10.9934167862,1.23450899124,0.324834674597,0.932738542557,14.8279476166,1.62458109856,0.115565657616,0.776193380356,3.36337804794,0.00321506615728,0.832725822926,10000.0,6.0,2348.63256836,2348.63256836,228.412042379,6.0,12,60000,262.683172809,-7.7551112175,0.339237362146,-3.59912538528,0.000307441485347,0.0255635622889,1.72271335125
0.179264743504,12.9193515778,1.50163280964,0.326770335436,0.935066223145,16.4483528137,1.3885999918,0.115565657616,0.776193380356,3.78864860535,0.0127348136157,0.822383463383,10000.0,6.0,2348.63256836,2348.63256836,244.04166913,6.0,13,65000,266.347957017,-12.0187368393,2.98592782021,-4.08463001251,0.000376431358745,1.72623646259,0.688325107098
0.177489845053,14.039888382,1.47822666168,0.326388388872,0.935351133347,17.7421321869,1.18740427494,-0.0984351038933,0.832044064999,3.93687462807,0.0209823157638,0.812713265419,10000.0,7.0,9098.51074219,9098.51074219,259.798010826,7.0,14,70000,269.440092237,-12.8783016205,2.49119877815,-4.56917238235,0.00045636028517,1.08130300045,1.24285161495
0.175732519854,12.3403015137,0.769516766071,0.323667556047,0.933939993382,14.5794754028,0.495067894459,-0.0984351038933,0.832044064999,4.13013935089,0.00899110734463,0.803576469421,10000.0,7.0,9098.51074219,9098.51074219,275.426511288,7.0,15,75000,272.304941341,-14.8831176758,3.56622767448,-5.05109167099,0.000548292300664,0.401550024748,0.798873603344
